231.000	24.601	0.001	2795.064	0.016
229.000	24.641	0.000	2795.086	0.003
227.000	24.671	0.001	2795.045	0.005
225.000	24.705	0.000	2795.065	0.014
223.000	24.739	0.001	2795.064	0.010
221.000	24.766	0.000	2795.058	0.011
219.000	24.799	0.001	2795.098	0.002
217.000	24.822	0.001	2795.104	0.008
215.000	24.845	0.001	2795.114	0.013
213.000	24.862	0.000	2795.114	0.008
211.000	24.878	0.000	2795.098	0.004
209.000	24.892	0.000	2795.112	0.010
207.000	24.907	0.001	2795.094	0.006
205.000	24.920	0.000	2795.138	0.010
203.000	24.931	0.001	2795.153	0.005
201.000	24.936	0.001	2795.142	0.012
199.000	24.946	0.000	2795.165	0.010
197.000	24.953	0.001	2795.163	0.004
195.000	24.957	0.001	2795.152	0.009
193.000	24.962	0.001	2795.147	0.009
191.000	24.968	0.001	2795.155	0.013
189.000	24.972	0.001	2795.171	0.008
187.000	24.980	0.001	2795.166	0.009
185.000	24.974	0.000	2795.158	0.012
183.000	24.978	0.000	2795.169	0.003
181.000	24.978	0.001	2795.147	0.011
179.000	24.983	0.001	2795.165	0.006
177.000	24.990	0.001	2795.142	0.013
175.000	24.994	0.001	2795.148	0.008
173.000	24.993	0.001	2795.139	0.016
171.000	24.998	0.000	2795.162	0.015
169.000	24.992	0.000	2795.172	0.008
167.000	25.008	0.001	2795.194	0.012
165.000	24.998	0.001	2795.192	0.012
163.000	24.995	0.001	2795.179	0.020
161.000	24.995	0.001	2795.182	0.009
159.000	24.990	0.001	2795.179	0.007
157.000	24.991	0.001	2795.199	0.001
155.000	24.993	0.001	2795.203	0.007
153.000	24.991	0.001	2795.202	0.008
151.000	24.992	0.001	2795.164	0.009
149.000	25.000	0.001	2795.174	0.016
147.000	25.003	0.000	2795.160	0.006
145.000	24.999	0.001	2795.185	0.016
143.000	25.000	0.001	2795.196	0.010
141.000	24.996	0.001	2795.168	0.015
139.000	24.997	0.001	2795.197	0.011
137.000	24.994	0.001	2795.192	0.007
135.000	24.994	0.001	2795.208	0.008
133.000	25.000	0.000	2795.220	0.005
131.000	24.996	0.001	2795.228	0.009
129.000	24.997	0.001	2795.226	0.011
127.000	24.997	0.001	2795.238	0.007
125.000	24.999	0.000	2795.216	0.008
123.000	24.997	0.001	2795.214	0.009
121.000	24.994	0.001	2795.232	0.005
119.000	24.990	0.001	2795.218	0.016
117.000	24.984	0.001	2795.218	0.009
115.000	24.981	0.001	2795.240	0.014
113.000	24.981	0.001	2795.228	0.010
111.000	24.977	0.001	2795.239	0.010
109.000	24.972	0.001	2795.220	0.008
107.000	24.966	0.000	2795.229	0.005
105.000	24.956	0.000	2795.207	0.006
103.000	24.951	0.001	2795.207	0.007
101.000	24.941	0.001	2795.218	0.008
99.000	24.937	0.001	2795.214	0.010
97.000	24.923	0.001	2795.218	0.007
95.000	24.913	0.001	2795.237	0.006
93.000	24.898	0.001	2795.218	0.013
91.000	24.880	0.000	2795.233	0.008
89.000	24.861	0.000	2795.220	0.011
87.000	24.838	0.000	2795.223	0.008
85.000	24.816	0.001	2795.236	0.007
83.000	24.792	0.001	2795.220	0.004
81.000	24.770	0.000	2795.233	0.014
79.000	24.735	0.001	2795.247	0.017
77.000	24.700	0.001	2795.236	0.008
75.000	24.663	0.001	2795.247	0.007
73.000	24.624	0.001	2795.238	0.011
71.000	24.586	0.001	2795.255	0.008
